22368	Ddmxx	39296
22368	Ddmxx	40571
22368	Ddmxx	73825
22368	Ddmxx	22878
22368	Ddmxx	44205
22368	Ddmxx	75259
22368	Ddmxx	59861
22368	Ddmxx	29931
22368	Ddmxx	20119
22368	Ddmxx	39093
22368	Ddmxx	77011
22368	Ddmxx	60784
22368	Ddmxx	83039
22368	Ddmxx	94619
22368	Ddmxx	16616
22368	Ddmxx	89123
22368	Ddmxx	11678
22368	Ddmxx	51847
19072	Ddmxx	73825
19072	Ddmxx	40571
19072	Ddmxx	29931
87905	Ddmxx	77011
87905	Ddmxx	91186
42277	Ddmxx	60784
42277	Ddmxx	29931
29093	Ddmxx	73825
29093	Ddmxx	40571
29093	Ddmxx	77011
29093	Ddmxx	83039
29093	Ddmxx	60784
29093	Ddmxx	68348
29093	Ddmxx	20119
29093	Ddmxx	16616
29093	Ddmxx	39093
29093	Ddmxx	51847
92779	Ddmxx	39296
92779	Ddmxx	40571
92779	Ddmxx	22878
92779	Ddmxx	68348
92779	Ddmxx	83039
92779	Ddmxx	75259
92779	Ddmxx	20119
92779	Ddmxx	39093
92779	Ddmxx	91186
92779	Ddmxx	11678
92779	Ddmxx	51847
92779	Ddmxx	89123
55659	Ddmxx	40571
55659	Ddmxx	68348
55659	Ddmxx	59861
55659	Ddmxx	29931
55659	Ddmxx	20119
55659	Ddmxx	91186
55659	Ddmxx	51847
67822	Ddmxx	77011
67822	Ddmxx	40571
67822	Ddmxx	73825
67822	Ddmxx	44205
67822	Ddmxx	68348
67822	Ddmxx	60784
67822	Ddmxx	94619
67822	Ddmxx	59861
67822	Ddmxx	29931
67822	Ddmxx	16616
67822	Ddmxx	39093
67822	Ddmxx	51847
35955	Ddmxx	83039
35955	Ddmxx	60784
35955	Ddmxx	29931
99413	Ddmxx	77011
99413	Ddmxx	83039
99413	Ddmxx	68348
99413	Ddmxx	60784
99413	Ddmxx	94619
99413	Ddmxx	59861
99413	Ddmxx	20119
99413	Ddmxx	91186
99413	Ddmxx	51847
86485	Ddmxx	40571
86485	Ddmxx	22878
86485	Ddmxx	44205
86485	Ddmxx	60784
86485	Ddmxx	94619
86485	Ddmxx	29931
86485	Ddmxx	20119
86485	Ddmxx	91186
86485	Ddmxx	11678
86485	Ddmxx	51847
18932	Ddmxx	73825
18932	Ddmxx	77011
18932	Ddmxx	39296
18932	Ddmxx	44205
18932	Ddmxx	68348
18932	Ddmxx	94619
18932	Ddmxx	29931
18932	Ddmxx	39093
18932	Ddmxx	16616
55956	Ddmxx	39296
55956	Ddmxx	40571
55956	Ddmxx	22878
